Date,Sort Order,Account,Merchant Name,Amount,Running Balance,Category
6/24/2024,1883,Spending - 7139,TACO BELL 35098 06/20 PURCHASE WARREN MI,-$10.59,$349.52,
6/24/2024,1884,Spending - 7139,Speedway 06/22 PURCHASE Kalamazoo MI,-$7.36,$342.16,
6/25/2024,1885,Spending - 7139,MARKET@WORK 20673 06/24 PURCHASE RENTON WA,-$2.19,$339.97,
6/25/2024,1886,Spending - 7139,SOHO 06/24 PURCHASE ROCHESTER HIL MI,-$30.42,$309.55,
6/25/2024,1887,Spending - 7139,TARGET 000 06/24 PURCHASE ROCHESTER MI,-$75.19,$234.36,
6/27/2024,1888,Spending - 7139,GRAND TAVERN 06/25 PURCHASE ROCHESTER HIL MI,-$26.20,$208.16,
6/28/2024,1889,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX90407,$125.00,$333.16,
6/28/2024,1890,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX90408,$125.00,$458.16,
6/28/2024,1891,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX90409,$20.00,$478.16,
6/28/2024,1892,Spending - 7139,BIGGBY COFFEE #67 06/27 PURCHASE STERLING HEIG MI,-$4.57,$473.59,
6/28/2024,1893,Spending - 7139,MARKET@WORK 20673 06/27 PURCHASE RENTON WA,-$2.99,$470.60,
7/1/2024,1894,Spending - 7139,ETERNAL GAMES 06/27 PURCHASE NEW BALTIMORE MI,-$5.00,$465.60,
7/5/2024,1895,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX33073,$125.00,$590.60,
7/5/2024,1896,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX33074,$125.00,$715.60,
7/5/2024,1897,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX33075,$20.00,$735.60,
7/5/2024,1898,Spending - 7139,Online Banking transfer to CHK 3102 Confirmation# XXXXX77794,-$500.00,$235.60,
7/12/2024,1899,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX58693,$125.00,$360.60,
7/12/2024,1900,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX58694,$125.00,$485.60,
7/12/2024,1901,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX58695,$20.00,$505.60,
7/12/2024,1902,Spending - 7139,Monthly Maintenance Fee,-$4.95,$500.65,
7/19/2024,1903,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX55890,$125.00,$625.65,
7/19/2024,1904,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX55891,$125.00,$750.65,
7/19/2024,1905,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX55892,$20.00,$770.65,
7/22/2024,1906,Spending - 7139,BKOFAMERICA ATM 07/21 #XXXXX7791 WITHDRWL 15 MILE AND UTICA CLINTON TOWNS MI,-$100.00,$670.65,
7/23/2024,1907,Spending - 7139,BIGGBY COFFEE #67 07/22 PURCHASE STERLING HEIG MI,-$2.85,$667.80,
7/23/2024,1908,Spending - 7139,LOUIES HAM & CORN 07/22 PURCHASE WARREN MI,-$13.66,$654.14,
7/23/2024,1909,Spending - 7139,Online Banking transfer to CHK 3102 Confirmation# XXXXX71441,-$600.00,$54.14,
7/24/2024,1910,Spending - 7139,BIGGBY COFFEE #67 07/23 PURCHASE STERLING HEIG MI,-$2.85,$51.29,
7/25/2024,1911,Spending - 7139,KIT CHEN THAI BY 07/23 PURCHASE WARREN MI,-$11.66,$39.63,
7/26/2024,1912,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX43487,$125.00,$164.63,
7/26/2024,1913,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX43488,$125.00,$289.63,
7/26/2024,1914,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX43489,$20.00,$309.63,
7/26/2024,1915,Spending - 7139,Online Banking transfer to CHK 3102 Confirmation# XXXXX78428,-$250.00,$59.63,
8/1/2024,1916,Spending - 7139,Online Banking transfer to CHK 3102 Confirmation# XXXXX65819,-$40.00,$19.63,
8/13/2024,1917,Spending - 7139,Monthly Maintenance Fee,-$4.95,$14.68,
8/16/2024,1918,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX10972,$125.00,$139.68,
8/16/2024,1919,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX10973,$125.00,$264.68,
8/16/2024,1920,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX10974,$20.00,$284.68,
8/23/2024,1921,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX24992,$125.00,$409.68,
8/23/2024,1922,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX24993,$125.00,$534.68,
8/23/2024,1923,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX24994,$20.00,$554.68,
8/30/2024,1924,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX21531,$125.00,$679.68,
8/30/2024,1925,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX21532,$125.00,$804.68,
8/30/2024,1926,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX21533,$20.00,$824.68,
9/6/2024,1927,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX16137,$125.00,$949.68,
9/6/2024,1928,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX16138,$125.00,$1074.68,
9/6/2024,1929,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX16139,$20.00,$1094.68,
9/11/2024,1930,Spending - 7139,Monthly Maintenance Fee,-$4.95,$1089.73,
9/13/2024,1931,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX05601,$125.00,$1214.73,
9/13/2024,1932,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX05602,$125.00,$1339.73,
9/13/2024,1933,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX05603,$20.00,$1359.73,
9/17/2024,1934,Spending - 7139,Online Banking payment to CRD 5496 Confirmation# XXXXX08887,-$634.64,$725.09,
9/20/2024,1935,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX48445,$125.00,$850.09,
9/20/2024,1936,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX48446,$125.00,$975.09,
